Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF_POL","CP_Elec_6.3x7.7_WURTH",-0.200000,0.175000,0.000000,bottom
"C2","1uF","SM0402",0.075000,0.175000,180.000000,bottom
"C3","1uF","SM0402",0.325000,0.175000,180.000000,bottom
"C4","0.1uF","SM0402",-0.250000,-0.650000,0.000000,bottom
"C5","0.1uF","SM0402",0.525000,0.300000,270.000000,bottom
"D2","DIODE_TVS_ZENER_28V","D_SMB_LITTELFUSE",-0.700000,0.050000,90.000000,bottom
"R1","100","SM0402",-0.150000,-0.475000,90.000000,bottom
"R2","100","SM0402",0.100000,-0.475000,270.000000,bottom
